Status,Batch,Template,Legacy Url,Source Path,New Path,New Url
Migrate,Batch 1,cascade-content,/2-0001_d0e3.aspx,/2-0001_d0e3.xml,/content/wknd-spa-react/us/en/pricing/current/Gen_Notes_boo/2-0001_d0e3,/content/wknd-spa-react/us/en/pricing/current/Gen_Notes_boo/2-0001_d0e3.html
Migrate,Batch 1,cascade-content,/2-0001_d0e82.aspx,/2-0001_d0e82.xml,/content/wknd-spa-react/us/en/pricing/current/Gen_Notes_boo/2-0001_d0e82,/content/wknd-spa-react/us/en/pricing/current/Gen_Notes_boo/2-0001_d0e82.html






